                 Step     Time          Energy          fmax
LBFGSLineSearch:    1 16:53:47     -905.557003        0.238156
LBFGSLineSearch:    2 16:53:48     -905.668544        0.299678
LBFGSLineSearch:    3 16:53:48     -905.742166        0.278308
LBFGSLineSearch:    4 16:53:49     -905.852372        0.284803
LBFGSLineSearch:    5 16:53:51     -905.957677        0.227306
LBFGSLineSearch:    6 16:53:51     -905.979396        0.193064
LBFGSLineSearch:    7 16:53:52     -906.044405        0.177997
LBFGSLineSearch:    8 16:53:53     -906.062875        0.170590
LBFGSLineSearch:    9 16:53:54     -906.102424        0.167548
LBFGSLineSearch:   10 16:53:55     -906.145064        0.161663
LBFGSLineSearch:   11 16:53:56     -906.159607        0.145138
LBFGSLineSearch:   12 16:53:58     -906.222014        0.217975
LBFGSLineSearch:   13 16:53:59     -906.269174        0.138267
LBFGSLineSearch:   14 16:54:00     -906.285553        0.182265
LBFGSLineSearch:   15 16:54:01     -906.360721        0.171254
LBFGSLineSearch:   16 16:54:02     -906.403224        0.182305
LBFGSLineSearch:   17 16:54:03     -906.420452        0.143837
LBFGSLineSearch:   18 16:54:03     -906.433209        0.120966
LBFGSLineSearch:   19 16:54:04     -906.454430        0.190947
LBFGSLineSearch:   20 16:54:05     -906.486725        0.141165
LBFGSLineSearch:   21 16:54:06     -906.527005        0.118083
LBFGSLineSearch:   22 16:54:07     -906.533083        0.088352
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:54:08     -904.958539        0.702493
LBFGSLineSearch:    1 16:54:09     -905.724587        0.233088
LBFGSLineSearch:    2 16:54:09     -905.836371        0.273027
LBFGSLineSearch:    3 16:54:10     -905.904878        0.246083
LBFGSLineSearch:    4 16:54:11     -906.002824        0.204409
LBFGSLineSearch:    5 16:54:12     -906.100378        0.169261
LBFGSLineSearch:    6 16:54:13     -906.122678        0.194285
LBFGSLineSearch:    7 16:54:14     -906.185605        0.171916
LBFGSLineSearch:    8 16:54:15     -906.232977        0.174929
LBFGSLineSearch:    9 16:54:16     -906.246805        0.151825
LBFGSLineSearch:   10 16:54:17     -906.283535        0.151310
LBFGSLineSearch:   11 16:54:18     -906.302980        0.195116
LBFGSLineSearch:   12 16:54:19     -906.363807        0.191459
LBFGSLineSearch:   13 16:54:20     -906.411950        0.144899
LBFGSLineSearch:   14 16:54:21     -906.429419        0.212323
LBFGSLineSearch:   15 16:54:22     -906.479748        0.111457
LBFGSLineSearch:   16 16:54:22     -906.500599        0.154146
LBFGSLineSearch:   17 16:54:23     -906.521304        0.200203
LBFGSLineSearch:   18 16:54:24     -906.558650        0.176006
LBFGSLineSearch:   19 16:54:25     -906.594471        0.130718
LBFGSLineSearch:   20 16:54:26     -906.605624        0.186723
LBFGSLineSearch:   21 16:54:27     -906.636754        0.064988
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:54:28     -905.086394        0.598296
LBFGSLineSearch:    1 16:54:29     -905.829720        0.230899
LBFGSLineSearch:    2 16:54:29     -905.944222        0.239666
LBFGSLineSearch:    3 16:54:30     -906.007284        0.203044
LBFGSLineSearch:    4 16:54:31     -906.102188        0.239222
LBFGSLineSearch:    5 16:54:32     -906.195408        0.190867
LBFGSLineSearch:    6 16:54:33     -906.218312        0.192539
LBFGSLineSearch:    7 16:54:34     -906.278625        0.170784
LBFGSLineSearch:    8 16:54:35     -906.322953        0.170547
LBFGSLineSearch:    9 16:54:36     -906.335518        0.148272
LBFGSLineSearch:   10 16:54:37     -906.369739        0.149615
LBFGSLineSearch:   11 16:54:38     -906.392248        0.170705
LBFGSLineSearch:   12 16:54:39     -906.438892        0.198418
LBFGSLineSearch:   13 16:54:40     -906.456486        0.240985
LBFGSLineSearch:   14 16:54:41     -906.494090        0.128258
LBFGSLineSearch:   15 16:54:42     -906.508807        0.226865
LBFGSLineSearch:   16 16:54:43     -906.574166        0.127321
LBFGSLineSearch:   17 16:54:44     -906.597822        0.218393
LBFGSLineSearch:   18 16:54:45     -906.631384        0.163801
LBFGSLineSearch:   19 16:54:46     -906.646010        0.136619
LBFGSLineSearch:   20 16:54:46     -906.673604        0.143344
LBFGSLineSearch:   21 16:54:48     -906.705076        0.134687
LBFGSLineSearch:   22 16:54:48     -906.711768        0.066381
                 Step     Time          Energy          fmax
LBFGSLineSearch:    0 16:54:49     -905.035125        0.609212
LBFGSLineSearch:    1 16:54:50     -905.808283        0.233451
LBFGSLineSearch:    2 16:54:50     -905.916392        0.287799
LBFGSLineSearch:    3 16:54:51     -905.985789        0.246183
LBFGSLineSearch:    4 16:54:52     -906.084150        0.220049
LBFGSLineSearch:    5 16:54:53     -906.193890        0.177019
LBFGSLineSearch:    6 16:54:54     -906.218955        0.197032
LBFGSLineSearch:    7 16:54:55     -906.290653        0.174533
LBFGSLineSearch:    8 16:54:57     -906.333777        0.172825
LBFGSLineSearch:    9 16:54:57     -906.345887        0.162955
LBFGSLineSearch:   10 16:54:58     -906.378016        0.156112
LBFGSLineSearch:   11 16:54:59     -906.388784        0.152901
LBFGSLineSearch:   12 16:55:00     -906.408286        0.204335
LBFGSLineSearch:   13 16:55:01     -906.471395        0.142288
LBFGSLineSearch:   14 16:55:02     -906.488482        0.223990
LBFGSLineSearch:   15 16:55:03     -906.537211        0.123457
LBFGSLineSearch:   16 16:55:03     -906.555795        0.226511
LBFGSLineSearch:   17 16:55:04     -906.615027        0.101257
